chamber_before_election,chamber_after_election,Party,Candidate,Year,Ideology,Nominate_D1_before,Nominate_D2_before,NP_D1_before,NP_D2_before,Nominate_D1_after,Nominate_D2_after,NP_D1_after,NP_D2_after
House,House,Democratic,Eric Swalwell,2014,-1.745,-0.355,-0.049,-0.36,-0.139,-0.355,-0.049,-0.374,-0.048
House,House,Democratic,Eric Swalwell,2016,-1.905,-0.355,-0.049,-0.355,-0.21,-0.355,-0.049,-0.36,-0.139
House,House,Democratic,Eric Swalwell,2018,-2.398,-0.355,-0.049,-0.521,0.264,-0.355,-0.049,-0.355,-0.21
House,House,Democratic,Eric Swalwell,2020,-2.474,-0.355,-0.049,-0.285,-0.051,-0.355,-0.049,-0.521,0.264
House,House,Democratic,Eric Swalwell,2022,-2.481,-0.355,-0.049,-0.345,0.182,-0.355,-0.049,-0.285,-0.051
House,House,Democratic,Eric Swalwell,2024,-2.505,-0.355,-0.049,-0.274,-0.23,-0.355,-0.049,-0.345,0.182
House,House,Republican,Morgan Griffith,2012,1.541,0.512,-0.342,0.53,-0.505,0.512,-0.342,0.512,-0.349
House,House,Republican,Morgan Griffith,2014,1.571,0.512,-0.342,0.565,-0.516,0.512,-0.342,0.53,-0.505
House,House,Republican,Morgan Griffith,2016,1.555,0.512,-0.342,0.606,-0.501,0.512,-0.342,0.565,-0.516
House,House,Republican,Morgan Griffith,2018,1.641,0.512,-0.342,0.563,-0.363,0.512,-0.342,0.606,-0.501
House,House,Republican,Morgan Griffith,2020,1.849,0.512,-0.342,0.499,-0.356,0.512,-0.342,0.563,-0.363
House,House,Republican,Morgan Griffith,2022,1.812,0.512,-0.342,0.446,-0.276,0.512,-0.342,0.499,-0.356
House,House,Republican,Morgan Griffith,2024,1.617,0.512,-0.342,0.495,-0.159,0.512,-0.342,0.446,-0.276
NA,House,Democratic,Frederick 'Rick' Boucher,2010,-1.44,NA,NA,NA,NA,-0.265,0.189,-0.247,0.535
House,House,Republican,Rodney Davis,2014,1.305,0.279,0.17,0.284,0.107,0.279,0.17,0.33,0.008
House,House,Republican,Rodney Davis,2016,1.207,0.279,0.17,0.27,0.289,0.279,0.17,0.284,0.107
House,House,Republican,Rodney Davis,2018,1.452,0.279,0.17,0.234,0.341,0.279,0.17,0.27,0.289
House,House,Republican,Rodney Davis,2020,1.466,0.279,0.17,0.295,0.154,0.279,0.17,0.234,0.341
NA,House,Republican,Rodney Davis,2022,1.422,NA,NA,NA,NA,0.279,0.17,0.295,0.154
House,House,Republican,Tom Rice,2014,1.469,0.558,-0.217,0.563,-0.297,0.558,-0.217,0.617,-0.232
House,House,Republican,Tom Rice,2016,1.468,0.558,-0.217,0.558,-0.161,0.558,-0.217,0.563,-0.297
House,House,Republican,Tom Rice,2018,1.648,0.558,-0.217,0.63,-0.319,0.558,-0.217,0.558,-0.161
House,House,Republican,Tom Rice,2020,1.632,0.558,-0.217,0.48,-0.194,0.558,-0.217,0.63,-0.319
NA,House,Republican,Tom Rice,2022,0.885,NA,NA,NA,NA,0.558,-0.217,0.48,-0.194
House,House,Republican,Paul Broun,2010,2.043,0.913,-0.408,0.903,-0.328,0.913,-0.408,0.924,0.02
House,House,Republican,Paul Broun,2012,1.956,0.913,-0.408,0.991,-0.136,0.913,-0.408,0.903,-0.328
NA,House,Republican,Paul Broun,2014,2.194,NA,NA,NA,NA,0.913,-0.408,0.991,-0.136
NA,House,Republican,George Radanovich,2010,1.306,NA,NA,NA,NA,0.484,0.18,0.463,0.322
House,House,Republican,Kevin McCarthy,2010,1.64,0.453,0.233,0.471,0.34,0.453,0.233,0.485,0.033
House,House,Republican,Kevin McCarthy,2012,1.572,0.453,0.233,0.4,0.36,0.453,0.233,0.471,0.34
House,House,Republican,Kevin McCarthy,2014,1.48,0.453,0.233,0.475,0.363,0.453,0.233,0.4,0.36
House,House,Republican,Kevin McCarthy,2016,1.532,0.453,0.233,0.464,0.25,0.453,0.233,0.475,0.363
House,House,Republican,Kevin McCarthy,2018,1.651,0.453,0.233,0.424,0.371,0.453,0.233,0.464,0.25
House,House,Republican,Kevin McCarthy,2020,1.732,0.453,0.233,0.457,0.304,0.453,0.233,0.424,0.371
House,House,Republican,Kevin McCarthy,2022,1.78,0.453,0.233,0.381,0.07,0.453,0.233,0.457,0.304
House,House,Republican,David Valadao,2014,0.979,0.258,0.438,0.256,0.347,0.258,0.438,0.247,0.308
House,House,Republican,David Valadao,2016,0.985,0.258,0.438,0.248,0.687,0.258,0.438,0.256,0.347
NA,House,Republican,David Valadao,2018,1.397,NA,NA,NA,NA,0.258,0.438,0.248,0.687
House,House,Republican,David Valadao,2022,1.22,0.258,0.438,0.264,0.653,0.258,0.438,0.283,0.311
House,House,Republican,David Valadao,2024,1.274,0.258,0.438,0.275,0.53,0.258,0.438,0.264,0.653
House,House,Democratic,Bob Filner,2010,-2.087,-0.652,0.002,-0.752,-0.158,-0.652,0.002,-0.556,-0.584
NA,House,Democratic,Bob Filner,2012,-2.089,NA,NA,NA,NA,-0.652,0.002,-0.752,-0.158
House,House,Democratic,Juan Vargas,2014,-2,-0.398,0.023,-0.352,0.014,-0.398,0.023,-0.383,0.166
House,House,Democratic,Juan Vargas,2016,-1.975,-0.398,0.023,-0.458,0.151,-0.398,0.023,-0.352,0.014
House,House,Democratic,Juan Vargas,2018,-1.977,-0.398,0.023,-0.554,-0.187,-0.398,0.023,-0.458,0.151
House,House,Democratic,Juan Vargas,2020,-1.893,-0.398,0.023,-0.507,-0.08,-0.398,0.023,-0.554,-0.187
House,House,Democratic,Juan Vargas,2022,-1.973,-0.398,0.023,-0.326,-0.281,-0.398,0.023,-0.507,-0.08
House,House,Democratic,Juan Vargas,2024,-2.072,-0.398,0.023,-0.593,0.314,-0.398,0.023,-0.326,-0.281
House,House,Republican,Scott Tipton,2012,1.354,0.451,-0.023,0.473,-0.045,0.451,-0.023,0.411,-0.035
House,House,Republican,Scott Tipton,2014,1.377,0.451,-0.023,0.526,-0.082,0.451,-0.023,0.473,-0.045
House,House,Republican,Scott Tipton,2016,1.387,0.451,-0.023,0.404,0.071,0.451,-0.023,0.526,-0.082
House,House,Republican,Scott Tipton,2018,1.42,0.451,-0.023,0.445,-0,0.451,-0.023,0.404,0.071
NA,House,Republican,Scott Tipton,2020,1.547,NA,NA,NA,NA,0.451,-0.023,0.445,-0
NA,House,Democratic,John Salazar,2010,-2.065,NA,NA,NA,NA,-0.277,0.561,-0.278,0.456
House,House,Republican,Mark Meadows,2014,1.756,0.605,-0.201,0.62,-0.198,0.605,-0.201,0.622,-0.108
House,House,Republican,Mark Meadows,2016,2.008,0.605,-0.201,0.618,-0.258,0.605,-0.201,0.62,-0.198
House,House,Republican,Mark Meadows,2018,2.206,0.605,-0.201,0.587,-0.209,0.605,-0.201,0.618,-0.258
House,House,Republican,Mike Simpson,2010,1.167,0.296,0.312,0.266,0.27,0.296,0.312,0.279,0.455
House,House,Republican,Mike Simpson,2012,1.209,0.296,0.312,0.29,0.415,0.296,0.312,0.266,0.27
House,House,Republican,Mike Simpson,2014,1.169,0.296,0.312,0.252,0.458,0.296,0.312,0.29,0.415
House,House,Republican,Mike Simpson,2016,1.305,0.296,0.312,0.271,0.395,0.296,0.312,0.252,0.458
House,House,Republican,Mike Simpson,2018,1.405,0.296,0.312,0.332,0.282,0.296,0.312,0.271,0.395
House,House,Republican,Mike Simpson,2020,1.573,0.296,0.312,0.333,0.324,0.296,0.312,0.332,0.282
House,House,Republican,Mike Simpson,2022,1.372,0.296,0.312,0.285,0.451,0.296,0.312,0.333,0.324
House,House,Republican,Mike Simpson,2024,1.406,0.296,0.312,0.375,0.53,0.296,0.312,0.285,0.451
House,House,Democratic,John D. Dingell,2010,-2.514,-0.448,0.313,-0.431,0.313,-0.448,0.313,-0.448,0.315
House,House,Democratic,John D. Dingell,2012,-2.431,-0.448,0.313,-0.405,0.102,-0.448,0.313,-0.431,0.313
NA,House,Democratic,John D. Dingell,2014,-2.417,NA,NA,NA,NA,-0.448,0.313,-0.405,0.102
House,House,Democratic,Wm Lacy Clay,2010,-2.614,-0.481,-0.078,-0.519,-0.165,-0.481,-0.078,-0.451,-0.4
House,House,Democratic,Wm Lacy Clay,2012,-2.55,-0.481,-0.078,-0.419,-0.074,-0.481,-0.078,-0.519,-0.165
House,House,Democratic,Wm Lacy Clay,2014,-2.491,-0.481,-0.078,-0.483,0.106,-0.481,-0.078,-0.419,-0.074
House,House,Democratic,Wm Lacy Clay,2016,-2.431,-0.481,-0.078,-0.395,-0.273,-0.481,-0.078,-0.483,0.106
House,House,Democratic,Wm Lacy Clay,2018,-2.379,-0.481,-0.078,-0.586,0.04,-0.481,-0.078,-0.395,-0.273
NA,House,Democratic,Wm Lacy Clay,2020,-2.228,NA,NA,NA,NA,-0.481,-0.078,-0.586,0.04
House,House,Republican,Reid Ribble,2012,1.523,0.603,-0.333,0.699,-0.357,0.603,-0.333,0.598,-0.321
House,House,Republican,Reid Ribble,2014,1.348,0.603,-0.333,0.539,-0.341,0.603,-0.333,0.699,-0.357
NA,House,Republican,Reid Ribble,2016,1.209,NA,NA,NA,NA,0.603,-0.333,0.539,-0.341
NA,House,Democratic,Steve Kagen,2010,-2.261,NA,NA,NA,NA,-0.317,0.057,-0.366,-0.121
NA,House,Democratic,John Hall,2010,-2.278,NA,NA,NA,NA,-0.319,-0.046,-0.322,0.02
House,House,Republican,Jeb Hensarling,2010,1.914,0.703,0.04,0.669,0.095,0.703,0.04,0.74,0.025
House,House,Republican,Jeb Hensarling,2012,1.985,0.703,0.04,0.652,0.214,0.703,0.04,0.669,0.095
House,House,Republican,Jeb Hensarling,2014,1.863,0.703,0.04,0.641,0.206,0.703,0.04,0.652,0.214
House,House,Republican,Jeb Hensarling,2016,1.886,0.703,0.04,0.645,0.062,0.703,0.04,0.641,0.206
NA,House,Republican,Jeb Hensarling,2018,1.898,NA,NA,NA,NA,0.703,0.04,0.645,0.062
House,House,Democratic,Ruben Hinojosa,2010,-1.739,-0.34,0.235,-0.367,0.237,-0.34,0.235,-0.398,0.295
House,House,Democratic,Ruben Hinojosa,2012,-1.712,-0.34,0.235,-0.369,0.19,-0.34,0.235,-0.367,0.237
House,House,Democratic,Ruben Hinojosa,2014,-1.67,-0.34,0.235,-0.397,0.189,-0.34,0.235,-0.369,0.19
NA,House,Democratic,Ruben Hinojosa,2016,-1.591,NA,NA,NA,NA,-0.34,0.235,-0.397,0.189
House,House,Democratic,Russ Carnahan,2010,-2.179,-0.347,-0.005,-0.387,0.011,-0.347,-0.005,-0.342,0.119
NA,House,Democratic,Russ Carnahan,2012,-2.138,NA,NA,NA,NA,-0.347,-0.005,-0.387,0.011
House,House,Republican,Joe Barton,2010,1.601,0.528,0.047,0.474,-0.11,0.528,0.047,0.48,0.264
House,House,Republican,Joe Barton,2012,1.562,0.528,0.047,0.542,0.031,0.528,0.047,0.474,-0.11
House,House,Republican,Joe Barton,2014,1.537,0.528,0.047,0.489,0.184,0.528,0.047,0.542,0.031
House,House,Republican,Joe Barton,2016,1.528,0.528,0.047,0.541,-0.129,0.528,0.047,0.489,0.184
NA,House,Republican,Joe Barton,2018,1.507,NA,NA,NA,NA,0.528,0.047,0.541,-0.129
House,House,Democratic,Filemon Vela,2014,-1.314,-0.311,0.407,-0.321,0.424,-0.311,0.407,-0.288,0.434
House,House,Democratic,Filemon Vela,2016,-1.388,-0.311,0.407,-0.343,0.435,-0.311,0.407,-0.321,0.424
House,House,Democratic,Filemon Vela,2018,-1.574,-0.311,0.407,-0.447,0.492,-0.311,0.407,-0.343,0.435
House,House,Democratic,Filemon Vela,2020,-1.713,-0.311,0.407,-0.224,0.161,-0.311,0.407,-0.447,0.492
House,House,Democratic,David Cicilline,2012,-2.691,-0.389,-0.262,-0.407,-0.323,-0.389,-0.262,-0.397,-0.19
House,House,Democratic,David Cicilline,2014,-2.628,-0.389,-0.262,-0.386,-0.276,-0.389,-0.262,-0.407,-0.323
House,House,Democratic,David Cicilline,2016,-2.542,-0.389,-0.262,-0.376,-0.434,-0.389,-0.262,-0.386,-0.276
House,House,Democratic,David Cicilline,2018,-2.526,-0.389,-0.262,-0.428,-0.136,-0.389,-0.262,-0.376,-0.434
House,House,Democratic,David Cicilline,2020,-2.552,-0.389,-0.262,-0.312,-0.174,-0.389,-0.262,-0.428,-0.136
House,House,Democratic,David Cicilline,2022,-2.551,-0.389,-0.262,-0.45,0.016,-0.389,-0.262,-0.312,-0.174
NA,House,Democratic,Patrick Kennedy,2010,-2.907,NA,NA,NA,NA,-0.409,-0.062,-0.45,0.168
House,House,Democratic,Peter Visclosky,2010,-1.747,-0.402,0.244,-0.396,0.258,-0.402,0.244,-0.311,0.052
House,House,Democratic,Peter Visclosky,2012,-1.799,-0.402,0.244,-0.401,0.217,-0.402,0.244,-0.396,0.258
House,House,Democratic,Peter Visclosky,2014,-1.734,-0.402,0.244,-0.453,0.068,-0.402,0.244,-0.401,0.217
House,House,Democratic,Peter Visclosky,2016,-1.722,-0.402,0.244,-0.399,0.097,-0.402,0.244,-0.453,0.068
House,House,Democratic,Peter Visclosky,2018,-1.658,-0.402,0.244,-0.453,0.212,-0.402,0.244,-0.399,0.097
NA,House,Democratic,Peter Visclosky,2020,-1.612,NA,NA,NA,NA,-0.402,0.244,-0.453,0.212
House,House,Republican,Doug Collins,2014,1.618,0.61,0.134,0.659,-0.025,0.61,0.134,0.651,0.084
House,House,Republican,Doug Collins,2016,1.459,0.61,0.134,0.516,0.242,0.61,0.134,0.659,-0.025
House,House,Republican,Doug Collins,2018,1.667,0.61,0.134,0.595,0.303,0.61,0.134,0.516,0.242
NA,House,Republican,Doug Collins,2020,2.104,NA,NA,NA,NA,0.61,0.134,0.595,0.303
House,House,Democratic,Tony Cardenas,2014,-2.196,-0.39,-0.046,-0.361,-0.095,-0.39,-0.046,-0.361,0.025
House,House,Democratic,Tony Cardenas,2016,-2.154,-0.39,-0.046,-0.427,0.19,-0.39,-0.046,-0.361,-0.095
House,House,Democratic,Tony Cardenas,2018,-2.218,-0.39,-0.046,-0.45,0.043,-0.39,-0.046,-0.427,0.19
House,House,Democratic,Tony Cardenas,2020,-2.151,-0.39,-0.046,-0.527,0.007,-0.39,-0.046,-0.45,0.043
House,House,Democratic,Tony Cardenas,2022,-2.098,-0.39,-0.046,-0.478,-0.234,-0.39,-0.046,-0.527,0.007
NA,House,Democratic,Tony Cardenas,2024,-2.006,NA,NA,NA,NA,-0.39,-0.046,-0.478,-0.234
House,House,Democratic,Donald Payne Jr.,2010,-2.289,-0.592,-0.547,-0.602,-0.535,-0.592,-0.547,-0.537,-0.449
NA,House,Democratic,Donald Payne Jr.,2012,-2.27,NA,NA,NA,NA,-0.592,-0.547,-0.602,-0.535
House,House,Democratic,Cedric Richmond,2012,-2.205,-0.486,0.332,-0.415,0.304,-0.486,0.332,-0.469,0.299
House,House,Democratic,Cedric Richmond,2014,-2.076,-0.486,0.332,-0.489,0.32,-0.486,0.332,-0.415,0.304
House,House,Democratic,Cedric Richmond,2016,-2.043,-0.486,0.332,-0.58,0.416,-0.486,0.332,-0.489,0.32
House,House,Democratic,Cedric Richmond,2018,-2.097,-0.486,0.332,-0.657,0.462,-0.486,0.332,-0.58,0.416
House,House,Democratic,Cedric Richmond,2020,-2.135,-0.486,0.332,-0.387,-0.04,-0.486,0.332,-0.657,0.462
NA,House,Republican,Anh 'Joseph' Cao,2010,0.659,NA,NA,NA,NA,0.133,0.168,0.132,0.16
NA,House,Democratic,Brad Schneider,2014,-1.824,NA,NA,NA,NA,-0.195,-0.121,-0.188,-0.21
House,House,Democratic,Brad Schneider,2018,-2.009,-0.195,-0.121,-0.295,0.024,-0.195,-0.121,-0.14,-0.209
House,House,Democratic,Brad Schneider,2020,-2.066,-0.195,-0.121,-0.415,0.548,-0.195,-0.121,-0.295,0.024
House,House,Democratic,Brad Schneider,2022,-2.125,-0.195,-0.121,-0.307,0.151,-0.195,-0.121,-0.415,0.548
House,House,Democratic,Brad Schneider,2024,-2.17,-0.195,-0.121,-0.248,-0.058,-0.195,-0.121,-0.307,0.151
Senate,House,Republican,Mark Kirk,2010,0.809,0.274,-0.647,0.267,-0.666,0.274,-0.647,0.274,-0.591
Senate,Senate,Republican,Mark Kirk,2012,0.869,0.274,-0.647,0.345,-0.76,0.274,-0.647,0.267,-0.666
Senate,Senate,Republican,Mark Kirk,2014,0.541,0.274,-0.647,0.268,-0.606,0.274,-0.647,0.345,-0.76
NA,Senate,Republican,Mark Kirk,2016,0.566,NA,NA,NA,NA,0.274,-0.647,0.268,-0.606
House,House,Democratic,Sanford D. Bishop Jr.,2010,-1.988,-0.287,0.446,-0.282,0.564,-0.287,0.446,-0.34,0.494
House,House,Democratic,Sanford D. Bishop Jr.,2012,-1.706,-0.287,0.446,-0.302,0.531,-0.287,0.446,-0.282,0.564
House,House,Democratic,Sanford D. Bishop Jr.,2014,-1.668,-0.287,0.446,-0.308,0.514,-0.287,0.446,-0.302,0.531
House,House,Democratic,Sanford D. Bishop Jr.,2016,-1.576,-0.287,0.446,-0.342,0.5,-0.287,0.446,-0.308,0.514
House,House,Democratic,Sanford D. Bishop Jr.,2018,-1.637,-0.287,0.446,-0.338,0.281,-0.287,0.446,-0.342,0.5
House,House,Democratic,Sanford D. Bishop Jr.,2020,-1.671,-0.287,0.446,-0.403,0.382,-0.287,0.446,-0.338,0.281
House,House,Democratic,Sanford D. Bishop Jr.,2022,-1.776,-0.287,0.446,-0.44,0.455,-0.287,0.446,-0.403,0.382
House,House,Democratic,Sanford D. Bishop Jr.,2024,-1.815,-0.287,0.446,-0.337,0.478,-0.287,0.446,-0.44,0.455
House,House,Democratic,Dennis J. Kucinich,2010,-3.384,-0.582,0.024,-0.79,-0.071,-0.582,0.024,-0.286,-0.517
NA,House,Democratic,Dennis J. Kucinich,2012,-3.322,NA,NA,NA,NA,-0.582,0.024,-0.79,-0.071
NA,House,Democratic,Michael Arcuri,2010,-1.524,NA,NA,NA,NA,-0.206,0.341,-0.162,0.542
House,House,Republican,William Akin,2010,2.194,0.612,0.235,0.561,0.152,0.612,0.235,0.626,0.263
NA,House,Republican,William Akin,2012,2.692,NA,NA,NA,NA,0.612,0.235,0.561,0.152
House,House,Republican,Todd Young,2012,1.616,0.438,-0.023,0.448,0.133,0.438,-0.023,0.543,0.075
House,House,Republican,Todd Young,2014,1.538,0.438,-0.023,0.464,0.056,0.438,-0.023,0.448,0.133
Senate,House,Republican,Todd Young,2016,1.559,0.438,-0.023,0.367,-0.059,0.438,-0.023,0.464,0.056
Senate,Senate,Republican,Todd Young,2018,1.557,0.438,-0.023,0.46,-0.329,0.438,-0.023,0.367,-0.059
Senate,Senate,Republican,Todd Young,2020,1.701,0.438,-0.023,0.419,0.02,0.438,-0.023,0.46,-0.329
Senate,Senate,Republican,Todd Young,2022,1.602,0.438,-0.023,0.358,0.114,0.438,-0.023,0.419,0.02
Senate,Senate,Republican,Todd Young,2024,1.422,0.438,-0.023,0.566,0.588,0.438,-0.023,0.358,0.114
NA,House,Democratic,Baron Hill,2010,-1.978,NA,NA,NA,NA,-0.121,0.137,-0.062,-0.031
House,House,Democratic,Gary L. Ackerman,2010,-2.249,-0.429,-0.165,-0.429,0.081,-0.429,-0.165,-0.404,0.076
NA,House,Democratic,Gary L. Ackerman,2012,-2.152,NA,NA,NA,NA,-0.429,-0.165,-0.429,0.081
House,House,Democratic,Gregory Meeks,2010,-2.148,-0.416,-0.063,-0.435,0.03,-0.416,-0.063,-0.412,0.123
House,House,Democratic,Gregory Meeks,2012,-2.201,-0.416,-0.063,-0.435,0.021,-0.416,-0.063,-0.435,0.03
House,House,Democratic,Gregory Meeks,2014,-2.227,-0.416,-0.063,-0.397,0.006,-0.416,-0.063,-0.435,0.021
House,House,Democratic,Gregory Meeks,2016,-2.17,-0.416,-0.063,-0.339,-0.082,-0.416,-0.063,-0.397,0.006
House,House,Democratic,Gregory Meeks,2018,-2.217,-0.416,-0.063,-0.528,0.065,-0.416,-0.063,-0.339,-0.082
House,House,Democratic,Gregory Meeks,2020,-2.172,-0.416,-0.063,-0.489,0.096,-0.416,-0.063,-0.528,0.065
House,House,Democratic,Gregory Meeks,2022,-2.142,-0.416,-0.063,-0.518,0.192,-0.416,-0.063,-0.489,0.096
House,House,Democratic,Gregory Meeks,2024,-2.316,-0.416,-0.063,-0.47,0.034,-0.416,-0.063,-0.518,0.192
NA,House,Democratic,Joe Garcia,2014,-1.794,NA,NA,NA,NA,-0.204,0.032,-0.201,0.02
NA,House,Republican,David Rivera,2012,1.362,NA,NA,NA,NA,0.257,0.349,0.254,0.367
House,House,Democratic,Maxine Waters,2010,-3.017,-0.656,-0.095,-0.506,-0.221,-0.656,-0.095,-0.574,-0.659
House,House,Democratic,Maxine Waters,2012,-3.011,-0.656,-0.095,-0.531,-0.068,-0.656,-0.095,-0.506,-0.221
House,House,Democratic,Maxine Waters,2014,-2.887,-0.656,-0.095,-0.571,-0.12,-0.656,-0.095,-0.531,-0.068
House,House,Democratic,Maxine Waters,2016,-2.726,-0.656,-0.095,-0.529,-0.209,-0.656,-0.095,-0.571,-0.12
House,House,Democratic,Maxine Waters,2018,-2.841,-0.656,-0.095,-0.589,0.367,-0.656,-0.095,-0.529,-0.209
House,House,Democratic,Maxine Waters,2020,-2.823,-0.656,-0.095,-0.883,-0.035,-0.656,-0.095,-0.589,0.367
House,House,Democratic,Maxine Waters,2022,-2.711,-0.656,-0.095,-0.488,-0.456,-0.656,-0.095,-0.883,-0.035
House,House,Democratic,Maxine Waters,2024,-2.705,-0.656,-0.095,-0.802,0.345,-0.656,-0.095,-0.488,-0.456
House,House,Democratic,Frederica S. Wilson,2012,-2.297,-0.477,-0.006,-0.454,-0.081,-0.477,-0.006,-0.472,0.012
House,House,Democratic,Frederica S. Wilson,2014,-2.286,-0.477,-0.006,-0.509,0.05,-0.477,-0.006,-0.454,-0.081
House,House,Democratic,Frederica S. Wilson,2016,-2.227,-0.477,-0.006,-0.486,-0.031,-0.477,-0.006,-0.509,0.05
House,House,Democratic,Frederica S. Wilson,2018,-2.276,-0.477,-0.006,-0.538,0.027,-0.477,-0.006,-0.486,-0.031
House,House,Democratic,Frederica S. Wilson,2020,-2.339,-0.477,-0.006,-0.572,0.123,-0.477,-0.006,-0.538,0.027
House,House,Democratic,Frederica S. Wilson,2022,-2.48,-0.477,-0.006,-0.473,0.041,-0.477,-0.006,-0.572,0.123
House,House,Democratic,Frederica S. Wilson,2024,-2.326,-0.477,-0.006,-0.408,-0.141,-0.477,-0.006,-0.473,0.041
NA,House,Democratic,Kendrick Meek,2010,-2.202,NA,NA,NA,NA,-0.363,0.108,-0.328,0.198
NA,House,Republican,"Henry Brown, Jr.",2010,1.423,NA,NA,NA,NA,0.367,0.24,0.351,0.378
House,House,Democratic,Terri Sewell,2012,-1.956,-0.4,0.392,-0.406,0.478,-0.4,0.392,-0.364,0.329
House,House,Democratic,Terri Sewell,2014,-2.06,-0.4,0.392,-0.398,0.437,-0.4,0.392,-0.406,0.478
House,House,Democratic,Terri Sewell,2016,-2.053,-0.4,0.392,-0.398,0.356,-0.4,0.392,-0.398,0.437
House,House,Democratic,Terri Sewell,2018,-2.074,-0.4,0.392,-0.43,0.384,-0.4,0.392,-0.398,0.356
House,House,Democratic,Terri Sewell,2020,-2.272,-0.4,0.392,-0.492,0.475,-0.4,0.392,-0.43,0.384
House,House,Democratic,Terri Sewell,2022,-2.32,-0.4,0.392,-0.522,0.361,-0.4,0.392,-0.492,0.475
House,House,Democratic,Terri Sewell,2024,-2.222,-0.4,0.392,-0.306,0.236,-0.4,0.392,-0.522,0.361
NA,House,Democratic,Artur Davis,2010,-0.71,NA,NA,NA,NA,-0.27,0.454,-0.234,0.7
House,House,Republican,Larry D. Bucshon,2012,1.471,0.38,0.385,0.443,0.153,0.38,0.385,0.399,0.271
House,House,Republican,Larry D. Bucshon,2014,1.44,0.38,0.385,0.363,0.311,0.38,0.385,0.443,0.153
House,House,Republican,Larry D. Bucshon,2016,1.458,0.38,0.385,0.363,0.212,0.38,0.385,0.363,0.311
House,House,Republican,Larry D. Bucshon,2018,1.543,0.38,0.385,0.452,0.298,0.38,0.385,0.363,0.212
House,House,Republican,Larry D. Bucshon,2020,1.798,0.38,0.385,0.414,0.395,0.38,0.385,0.452,0.298
House,House,Republican,Larry D. Bucshon,2022,1.73,0.38,0.385,0.325,0.47,0.38,0.385,0.414,0.395
NA,House,Republican,Larry D. Bucshon,2024,1.536,NA,NA,NA,NA,0.38,0.385,0.325,0.47
NA,House,Democratic,Brad Ellsworth,2010,-1.393,NA,NA,NA,NA,-0.106,0.612,-0.108,0.442
House,House,Republican,David McKinley,2012,1.409,0.3,0.178,0.311,-0.02,0.3,0.178,0.254,0.18
House,House,Republican,David McKinley,2014,1.368,0.3,0.178,0.331,0.095,0.3,0.178,0.311,-0.02
House,House,Republican,David McKinley,2016,1.257,0.3,0.178,0.239,0.406,0.3,0.178,0.331,0.095
House,House,Republican,David McKinley,2018,1.375,0.3,0.178,0.321,0.322,0.3,0.178,0.239,0.406
House,House,Republican,David McKinley,2020,1.336,0.3,0.178,0.298,0.113,0.3,0.178,0.321,0.322
NA,House,Democratic,Alan Mollohan,2010,-1.774,NA,NA,NA,NA,-0.292,0.657,-0.374,0.509
House,House,Democratic,Hakeem Jeffries,2014,-2.321,-0.486,-0.066,-0.481,-0.092,-0.486,-0.066,-0.488,-0.077
House,House,Democratic,Hakeem Jeffries,2016,-2.287,-0.486,-0.066,-0.492,-0.106,-0.486,-0.066,-0.481,-0.092
House,House,Democratic,Hakeem Jeffries,2018,-2.361,-0.486,-0.066,-0.499,-0.124,-0.486,-0.066,-0.492,-0.106
House,House,Democratic,Hakeem Jeffries,2020,-2.482,-0.486,-0.066,-0.491,-0.139,-0.486,-0.066,-0.499,-0.124
House,House,Democratic,Hakeem Jeffries,2022,-2.422,-0.486,-0.066,-0.491,0.08,-0.486,-0.066,-0.491,-0.139
House,House,Democratic,Hakeem Jeffries,2024,-2.406,-0.486,-0.066,-0.435,-0.198,-0.486,-0.066,-0.491,0.08
House,House,Republican,Rick Crawford,2012,1.255,0.46,0.31,0.332,0.448,0.46,0.31,0.322,0.604
House,House,Republican,Rick Crawford,2014,1.398,0.46,0.31,0.432,0.364,0.46,0.31,0.332,0.448
House,House,Republican,Rick Crawford,2016,1.51,0.46,0.31,0.495,0.285,0.46,0.31,0.432,0.364
House,House,Republican,Rick Crawford,2018,1.704,0.46,0.31,0.508,0.518,0.46,0.31,0.495,0.285
House,House,Republican,Rick Crawford,2020,1.948,0.46,0.31,0.558,0.339,0.46,0.31,0.508,0.518
House,House,Republican,Rick Crawford,2022,2.006,0.46,0.31,0.472,0.19,0.46,0.31,0.558,0.339
House,House,Republican,Rick Crawford,2024,1.888,0.46,0.31,0.369,0.531,0.46,0.31,0.472,0.19
NA,House,Democratic,Marion Berry,2010,-1.356,NA,NA,NA,NA,-0.293,0.956,-0.301,0.953
House,House,Democratic,Lawrence Kissell,2010,-1.035,-0.182,0.375,-0.143,0.256,-0.182,0.375,-0.25,0.446
NA,House,Democratic,Lawrence Kissell,2012,-1.164,NA,NA,NA,NA,-0.182,0.375,-0.143,0.256
House,House,Republican,Richard Hudson,2014,1.489,0.523,0.209,0.647,0.146,0.523,0.209,0.699,0.269
House,House,Republican,Richard Hudson,2016,1.529,0.523,0.209,0.7,0.188,0.523,0.209,0.647,0.146
House,House,Republican,Richard Hudson,2018,1.508,0.523,0.209,0.481,0.111,0.523,0.209,0.7,0.188
House,House,Republican,Richard Hudson,2020,1.721,0.523,0.209,0.424,0.211,0.523,0.209,0.481,0.111
House,House,Republican,Richard Hudson,2022,1.707,0.523,0.209,0.504,0.241,0.523,0.209,0.424,0.211
