candidate_bonica,candidate_ces,politician_id,Unique_Project_ID,office_seat_name,district,cycle,state_ces,type,chamber,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,state_bonica,id_lt_bonica,score,state,candidate,year
caroline colarusso,caroline colarusso,10485,1851,District 5,5,2020,massachusetts,Rep,,,0,,2020,130,2,massachusetts,19,1.0000001,,,
charles d. baker,charles d. baker,6744,1852,,0,2018,massachusetts,Gov,,,2,,2018,1187,1,massachusetts,20,0.9999957,,,
christopher d. sheldon,christopher sheldon,5917,1853,District 9,9,2012,massachusetts,Rep,,,2,,2012,28,4,massachusetts,12,0.9834813,,,
david rosa,david rosa,5913,1854,District 4,4,2016,massachusetts,Rep,,,1,,2016,141,2,massachusetts,3,0.9999991,,,
deval patrick,deval patrick,7983,1855,,0,2010,massachusetts,Gov,,,8,,2010,1022,1,massachusetts,32,0.9999962,,,
earl henry sholley,earl h. sholley,16700,1856,District 4,4,2008,massachusetts,Rep,,,1,,2008,13,1,massachusetts,2,0.96110046,,,
edward j. markey,edward j. markey,2711,1857,District 7,7,2008,massachusetts,Rep,,M000133,4,,2008,46,2,massachusetts,8,1.0000002,,,
edward m. kennedy,edward m. kennedy,255,1858,Class I,0,2006,massachusetts,Sen,,K000105,2,,2006,532,3,massachusetts,17,0.99999756,,,
elizabeth ann warren,elizabeth warren,975,1859,Class I,0,2018,massachusetts,Sen,Senate,W000817,9,,2018,1187,3,massachusetts,17,0.9829822,,,
fred upton,fred upton,3027,1861,District 6,6,2006,michigan,Rep,,U000031,14,,2006,80,11,michigan,29,0.99999946,,,
geoff diehl,geoff diehl,9150,1862,Class I,0,2018,massachusetts,Sen,,,1,,2018,1187,4,massachusetts,18,0.9999981,,,
gerald c. dembrowski,gerry dembrowski,16707,1863,District 7,7,2010,massachusetts,Rep,,,1,,2010,98,3,massachusetts,16,0.94722855,,,
helen brady,helen brady,10489,1864,District 9,9,2020,massachusetts,Rep,,,0,,2020,135,6,massachusetts,17,1,,,
jack e. robinson,jack robinson,11548,1865,District 9,9,2006,massachusetts,Rep,,,1,,2006,53,4,massachusetts,8,0.9569791,,,
jake auchincloss,jake auchincloss,11107,1866,District 4,4,2020,massachusetts,Rep,House,A000148,0,,2020,105,7,massachusetts,11,1.0000001,,,
james p. mcgovern,james p. mcgovern,2911,1867,District 3,3,2008,massachusetts,Rep,House,M000312,4,,2008,30,4,massachusetts,10,1.0000001,,,
brian j. herr,jason lowenthal,,1868,Class II,7,2014,massachusetts,Rep,,,2,,2014,20,6,massachusetts,15,0.81854784,,,
jeffrey k. beatty,jeffrey beatty,1599,1869,District 10,10,2006,massachusetts,Rep,,,1,,2006,55,6,massachusetts,9,0.981914,,,
jeffrey davis perry,jeffrey perry,8429,1870,District 10,10,2010,massachusetts,Rep,,,1,,2010,108,5,massachusetts,9,0.9581276,,,
joseph kennedy iii,joseph kennedy iii,3099,1871,District 4,4,2012,massachusetts,Rep,,K000379,5,,2012,44,22,massachusetts,0,1.0000005,,,
joe selvaggi,joe selvaggi,5914,1872,District 8,8,2012,massachusetts,Rep,,,2,,2012,33,15,massachusetts,10,0.9999995,,,
john c. chapman,john chapman,4329,1873,District 9,9,2014,massachusetts,Rep,,,2,,2014,31,9,massachusetts,0,0.9745378,,,
john cunningham,john cunningham,16706,1874,District 7,7,2008,massachusetts,Rep,,,1,,2008,9,6,massachusetts,7,1,,,
john kerry,john kerry,59,1875,Class II,0,2008,massachusetts,Sen,,K000148,4,,2008,522,8,massachusetts,15,1,,,
john hugo,john hugo,8863,1877,District 5,5,2018,massachusetts,Rep,,,1,,2018,140,6,massachusetts,1,0.99999756,,,
john paul moran,john paul moran,10487,1878,District 6,6,2020,massachusetts,Rep,,,0,,2020,140,10,massachusetts,9,0.99999994,,,
jonathan a. golnik,jonathan golnik,5909,1879,District 5,5,2010,massachusetts,Rep,,,1,,2010,107,9,massachusetts,24,0.9810706,,,
joe schneider,joseph schneider,8864,1880,District 6,6,2018,massachusetts,Rep,,,1,,2018,129,8,massachusetts,7,0.9479991,,,
julie a. hall,julie hall,11077,1881,District 4,4,2020,massachusetts,Rep,,,0,,2020,105,11,massachusetts,12,0.97829765,,,
katherine m. clark,katherine clark,3141,1882,District 5,5,2018,massachusetts,Rep,,C001101,6,,2018,140,9,massachusetts,2,0.98513985,,,
kenneth g. chase,kenneth chase,1752,1883,Class I,0,2006,massachusetts,Sen,,,1,,2006,536,10,massachusetts,16,0.9791843,,,
kerry healey,kerry healey,9285,1884,,0,2006,massachusetts,Gov,,,1,,2006,532,11,massachusetts,18,0.9996269,,,
kevin j. o'connor,kevin o'connor,11078,1885,Class II,0,2020,massachusetts,Sen,,,0,,2020,1219,13,massachusetts,22,0.98603004,,,
lori loureiro trahan,lori trahan,10484,1886,District 3,3,2018,massachusetts,Rep,House,T000482,1,,2018,122,10,massachusetts,13,0.93611974,,,
mark alliegro,mark alliegro,4328,1887,District 9,9,2016,massachusetts,Rep,,,1,,2016,140,8,massachusetts,6,0.99999607,,,
martin a. lamb,martin lamb,16699,1888,District 3,3,2010,massachusetts,Rep,,,1,,2010,83,10,massachusetts,21,0.9660946,,,
martin t. meehan,martin t. meehan,13580,1889,District 5,5,2006,massachusetts,Rep,,M000627,1,,2006,41,12,massachusetts,2,0.9999962,,,
michael capuano,michael capuano,2749,1890,District 7,3,2012,massachusetts,Rep,,C001037,1,,2012,1,24,massachusetts,4,0.999999,,,
nathan a. bech,nathan bech,16693,1892,District 1,1,2008,massachusetts,Rep,,,1,,2008,12,11,massachusetts,6,0.9792956,,,
niki tsongas,niki tsongas,3025,1893,District 3,3,2012,massachusetts,Rep,,T000465,9,,2012,50,29,massachusetts,17,1.0000002,,,
peter tedeschi,peter tedeschi,8865,1895,District 9,9,2018,massachusetts,Rep,,,1,,2018,124,13,massachusetts,10,0.9999988,,,
richard a. baker,richard a. baker,16704,1896,District 6,6,2008,massachusetts,Rep,,,1,,2008,9,13,massachusetts,1,0.9999998,,,
richard w. barton,richard barton,15880,1897,District 6,6,2006,massachusetts,Rep,,,1,,2006,56,15,massachusetts,4,0.9787668,,,
richard r. tisei,richard tisei,4336,1898,District 6,6,2014,massachusetts,Rep,,,4,,2014,29,15,massachusetts,4,0.98063534,,,
rick green,rick green,8862,1899,District 3,3,2018,massachusetts,Rep,,,1,,2018,123,15,massachusetts,14,0.9999987,,,
scott brown,scott brown,976,1900,Class I,0,2012,massachusetts,Sen,,B001268,4,,2012,382,33,massachusetts,19,1.000001,,,
scott murphy,scott murphy,8457,1901,District 20,20,2009,new york,Rep,House,M001178,2,,2009,24,27,new york,4,0.99999917,,,
scott murphy,scott murphy,8457,1901,District 20,20,2009,new york,Rep,House,M001178,2,,2009,24,27,new york,4,0.99999917,,,
scott murphy,scott murphy,8457,1901,District 20,20,2009,new york,Rep,House,M001178,2,,2009,24,27,new york,4,0.99999917,,,
sean bielat,sean bielat,5902,1902,District 4,4,2010,massachusetts,Rep,,,3,,2010,104,15,massachusetts,1,0.9999988,,,
seth moulton,seth moulton,4333,1903,District 6,6,2022,massachusetts,Rep,House,M001196,6,,2022,112,18,massachusetts,15,1.0000004,,,
stephen f. lynch,stephen f. lynch,2899,1904,District 8,8,2022,massachusetts,Rep,House,L000562,3,,2022,131,19,massachusetts,0,1.0000005,,,
thomas t. simmons,thomas simmons,16696,1905,District 1,1,2016,massachusetts,Rep,,,1,,2016,159,14,massachusetts,11,0.98118246,,,
thomas a. wesley,thomas wesley,16697,1906,District 2,2,2010,massachusetts,Rep,,,1,,2010,110,17,massachusetts,27,0.9817336,,,
thomas p. tierney,tom tierney,5921,1908,District 5,5,2012,massachusetts,Rep,,,2,,2012,45,41,massachusetts,14,0.9082445,,,
tracy lyn lovvorn,tracy lovvorn,10483,1909,District 2,2,2018,massachusetts,Rep,,,1,,2018,122,18,massachusetts,3,0.9747467,,,
vernon m. harrison,vernon harrison,16710,1910,District 9,9,2010,massachusetts,Rep,,,1,,2010,91,18,massachusetts,12,0.97837913,,,
william burke,william burke,16708,1911,District 8,8,2016,massachusetts,Rep,,,1,,2016,140,15,massachusetts,16,0.99999815,,,
william l. gunn,"william gunn, jr.",16695,1912,District 1,1,2010,massachusetts,Rep,,,1,,2010,115,20,massachusetts,17,0.961113,,,
bill hudak,"william hudak, jr.",16705,1913,District 6,6,2010,massachusetts,Rep,,,1,,2010,118,21,massachusetts,4,0.9226849,,,
william l. owens,william l. owens,2940,1914,District 21,22,2012,new york,Rep,,O000169,2,,2012,9,100,new york,16,0.9999971,,,
william l. owens,william l. owens,2940,1914,District 21,22,2012,new york,Rep,,O000169,2,,2012,9,100,new york,16,0.9999971,,,
allen d. hardwick,allen hardwick,3227,1915,District 5,5,2014,michigan,Rep,,,3,,2014,29,0,michigan,19,0.95497966,,,
andrew rocky raczkowski,andrew 'rocky' raczkowski,8433,1916,District 9,9,2010,michigan,Rep,,,1,,2010,114,0,michigan,30,0.9780917,,,
andrew d. concannon,andrew d. concannon,16731,1917,District 4,4,2008,michigan,Rep,,,1,,2008,16,0,michigan,58,0.99999547,,,
andy levin,andy levin,8886,1918,District 9,9,2018,michigan,Rep,House,L000592,1,,2018,144,0,michigan,41,0.99999666,,,
anil kumar,anil kumar,3231,1919,District 11,11,2016,michigan,Rep,,,1,,2016,134,1,michigan,10,0.99999624,,,
bert copple,bert copple,16766,1920,District 12,12,2008,michigan,Rep,,,1,,2008,16,2,michigan,29,0.99998766,,,
betty sutton,betty sutton,5405,1921,District 13,13,2010,ohio,Rep,House,S001174,7,,2010,135,0,ohio,29,0.99999857,,,
bill huizenga,bill huizenga,2854,1922,District 4,3,2022,michigan,Rep,,H001058,2,,2022,84,2,michigan,0,0.9999992,,,
bob goodrich,bob goodrich,3223,1923,District 3,3,2014,michigan,Rep,,,2,,2014,31,2,michigan,0,1.0000001,,,
bobby mckenzie,bobby mckenzie,3233,1924,District 11,11,2014,michigan,Rep,,,2,,2014,14,3,michigan,55,0.9999996,,,
brenda lawrence,brenda lawrence,3232,1925,District 14,14,2016,michigan,Rep,,L000581,6,,2016,143,3,michigan,51,0.9999979,,,
bryan berghoef,bryan berghoef,10457,1926,District 2,2,2020,michigan,Rep,,,0,,2020,147,3,michigan,46,0.99999845,,,
candice s. miller,candice s. miller,2922,1927,District 10,10,2006,michigan,Rep,House,M001150,2,,2006,95,1,michigan,50,0.9999989,,,
candius stearns,candius stearns,8887,1928,District 9,9,2018,michigan,Rep,,,1,,2018,144,3,michigan,42,0.9999982,,,
carl levin,carl levin,1606,1929,Class II,0,2008,michigan,Sen,Senate,L000261,10,,2008,793,4,michigan,68,0.9999989,,,
carolyn cheeks kilpatrick,carolyn cheeks kilpatrick,13644,1930,District 13,13,2008,michigan,Rep,House,K000180,2,,2008,27,5,michigan,23,0.99999756,,,
cathy albro,cathy albro,8882,1931,District 3,3,2018,michigan,Rep,,,1,,2018,147,4,michigan,28,0.99999857,,,
chad miles,chad miles,15916,1932,District 14,14,2006,michigan,Rep,,,1,,2006,119,4,michigan,18,0.9999971,,,
charles j. langworthy,charles langworthy,10901,1933,District 9,9,2020,michigan,Rep,,,0,FEC ID: H0MI09180,2020,159,4,michigan,24,0.97013384,,,
john conyers jr.,christina conyers,,1934,District 13,14,2014,michigan,Rep,,,2,,2014,16,7,michigan,48,0.898811,,,
christopher r. morse,christopher r. morse,16756,1935,District 9,9,2016,michigan,Rep,,,1,,2016,172,5,michigan,25,0.9999973,,,
chuck stadler,chuck stadler,3243,1936,District 10,10,2014,michigan,Rep,,,4,,2014,21,8,michigan,43,0.999999,,,
cynthia j. kallgren,cynthia kallgren,4884,1937,District 12,12,2012,michigan,Rep,,,2,,2012,33,11,michigan,25,0.9849554,,,
dale e. kildee,dale e. kildee,13626,1938,District 5,5,2008,michigan,Rep,,K000172,2,,2008,32,6,michigan,45,0.9999988,,,
dan benishek,dan benishek,2723,1939,District 1,1,2012,michigan,Rep,House,B001271,8,,2012,51,13,michigan,0,0.99999946,,,
daniel t. kildee,dan kildee,3101,1941,District 5,5,2020,michigan,Rep,House,K000380,9,,2020,129,5,michigan,38,0.9321331,,,
dana ferguson,dana ferguson,10899,1942,District 1,1,2020,michigan,Rep,,,0,,2020,154,6,michigan,19,0.99999774,,,
dave camp,dave camp,2745,1943,District 4,4,2006,michigan,Rep,,C000071,9,,2006,77,6,michigan,7,0.999998,,,
david a. trott,david a. trott,3244,1944,District 11,11,2016,michigan,Rep,House,T000475,1,,2016,134,8,michigan,9,0.9999975,,,
david dudenhoefer,david dudenhoefer,10879,1945,District 13,13,2020,michigan,Rep,,,0,,2020,137,7,michigan,29,0.9999649,,,
dean vanderstelt,dean vanderstelt,3245,1946,District 2,2,2014,michigan,Rep,,,2,,2014,23,13,michigan,8,0.9999972,,,
debbie dingell,debbie dingell,3219,1947,District 6,6,2022,michigan,Rep,House,D000624,0,,2022,131,8,michigan,32,0.99999803,,,
debbie dingell,debbie dingell,3219,1947,District 12,12,2014,michigan,Rep,House,D000624,6,,2014,23,14,michigan,44,0.99999803,,,
debbie stabenow,debbie stabenow,984,1948,Class I,0,2012,michigan,Sen,,S000770,14,,2012,669,17,michigan,71,0.9999986,,,
debra freidell wirth,debra freidell wirth,4916,1949,District 4,4,2012,michigan,Rep,,,2,,2012,56,18,michigan,54,0.99999696,,,
dennis b. murphy,dennis b. murphy,16727,1950,District 2,2,2016,michigan,Rep,,,1,,2016,143,12,michigan,4,0.9999997,,,
dick devos,dick devos,9294,1951,,0,2006,michigan,Gov,,cand103780,1,,2006,1500,8,michigan,70,0.99999905,,,
donald f. cooney,don cooney,16741,1952,District 6,6,2008,michigan,Rep,,,1,,2008,32,9,michigan,19,0.93216103,,,
don hooper,don hooper,15036,1953,District 1,1,2006,michigan,Rep,,,1,,2006,104,9,michigan,48,0.99999756,,,
don ukrainec,don ukrainec,16774,1954,District 14,14,2010,michigan,Rep,,,1,,2010,85,10,michigan,62,0.9999983,,,
don volaric,don volaric,4911,1955,District 9,9,2012,michigan,Rep,,,2,,2012,52,19,michigan,8,0.99999654,,,
douglas smith,douglas smith,16730,1956,District 3,3,2016,michigan,Rep,,,1,,2016,154,13,michigan,7,0.99999624,,,
edward gubics,edward j. gubics,16770,1957,District 13,13,2008,michigan,Rep,,,1,,2008,9,10,michigan,22,0.9905381,,,
elissa slotkin,elissa slotkin,8685,1958,District 7,7,2022,michigan,Rep,House,S001208,0,,2022,166,10,michigan,30,1.0000005,,,
eric s. esshaki,eric esshaki,10903,1959,District 11,11,2020,michigan,Rep,,,0,,2020,134,11,michigan,52,0.9710689,,,
eric j. klammer,eric klammer,15903,1960,District 5,5,2006,michigan,Rep,,,1,,2006,99,10,michigan,34,0.95626086,,,
eric schertzing,eric schertzing,3240,1961,District 8,8,2014,michigan,Rep,,,2,,2014,21,16,michigan,32,0.9999965,,,
frank accavitti,frank accavitti jr.,16760,1962,District 10,10,2016,michigan,Rep,,,1,,2016,140,14,michigan,59,0.9744173,,,
fred l. johnson,fred johnson,16721,1963,District 2,2,2008,michigan,Rep,,,1,,2008,30,11,michigan,36,0.95410365,,,
gary mcdowell,gary mcdowell,4889,1964,District 1,1,2010,michigan,Rep,,,3,,2010,132,14,michigan,45,0.99999714,,,
gary c. peters,gary peters,2948,1965,District 9,9,2008,michigan,Rep,,P000595,6,,2008,37,13,michigan,0,0.9617424,,,
george brikho,greg brikho,3211,1966,District 9,9,2014,michigan,Rep,,,2,,2014,21,19,michigan,37,0.8903717,,,
gretchen driskell,gretchen driskell,8504,1967,District 7,7,2020,michigan,Rep,,,1,,2020,151,14,michigan,1,0.99999815,,,
gretchen driskell,gretchen driskell,8504,1967,District 7,7,2018,michigan,Rep,,,1,,2018,125,12,michigan,30,0.99999815,,,
gretchen whitmer,gretchen whitmer,8688,1968,,0,2022,michigan,Gov,,,0,,2022,1951,12,michigan,69,0.9999977,,,
haley stevens,haley stevens,8876,1969,District 11,11,2022,michigan,Rep,House,S001215,1,,2022,134,13,michigan,27,0.9999978,,,
hansen clarke,hansen clarke,3215,1970,District 13,13,2010,michigan,Rep,House,C001085,4,,2010,77,16,michigan,11,0.9999971,,,
harry t. sawicki,harry t. sawicki,4898,1971,District 13,13,2012,michigan,Rep,,,2,,2012,31,25,michigan,16,0.9999474,,,
henry e. brown,"henry e. brown, jr.",10099,1972,District 1,1,2008,south carolina,Rep,,B001235,2,,2008,57,2,south carolina,8,0.9780568,,,
henry a. sanchez,henry sanchez,16728,1973,District 3,3,2008,michigan,Rep,,,1,,2008,12,14,michigan,32,0.9817627,,,
henry yanez,henry yanez,4918,1974,District 10,10,2010,michigan,Rep,,,1,,2010,116,17,michigan,67,0.99999714,,,
hillary scholten,hillary scholten,10273,1975,District 3,3,2022,michigan,Rep,House,S001221,0,,2022,152,14,michigan,35,0.9999974,,,
howard klausner,howard klausner,16778,1976,District 14,14,2016,michigan,Rep,,,1,,2016,142,18,michigan,50,0.9999884,,,
jack bergman,jack bergman,8335,1977,District 1,1,2022,michigan,Rep,,B001301,3,,2022,165,15,michigan,7,0.9999999,,,
jacob w. hoogendyk jr.,jack hoogendyk,1607,1978,Class II,0,2008,michigan,Sen,,,1,,2008,372,15,michigan,71,0.91078717,,,
jim marcinkowski,james marcinkowski,15907,1979,District 8,8,2006,michigan,Rep,,,1,,2006,111,12,michigan,36,0.97235966,,,
james r. rinck,james rinck,15899,1980,District 3,3,2006,michigan,Rep,,,1,,2006,95,13,michigan,42,0.9838896,,,
jeff holmes,jeff holmes,3229,1981,District 4,4,2014,michigan,Rep,,,2,,2014,29,21,michigan,20,0.9999968,,,
jeff jones,jeff jones,8878,1982,District 12,12,2020,michigan,Rep,,,2,,2020,148,19,michigan,3,0.9999989,,,
jennifer granholm,jennifer granholm,6462,1983,,0,2006,michigan,Gov,,,2,,2006,1503,14,michigan,73,0.99999845,,,
jerry m. campbell,jerry campbell,16732,1984,District 4,4,2010,michigan,Rep,,,1,,2010,135,19,michigan,48,0.9767918,,,
jerry cannon,jerry cannon,3214,1985,District 1,1,2014,michigan,Rep,,,2,,2014,28,22,michigan,29,0.9999976,,,
jerry hilliard,jerry hilliard,8883,1986,District 4,4,2020,michigan,Rep,,,1,,2020,137,20,michigan,43,0.9999979,,,
jim slezak,jim slezak,4902,1987,District 5,5,2012,michigan,Rep,,,2,,2012,58,27,michigan,6,0.9999957,,,
joseph k. knollenberg,joe knollenberg,9977,1988,District 9,9,2006,michigan,Rep,,K000288,3,,2006,90,15,michigan,27,0.94684666,,,
john conyers jr.,john conyers jr.,2770,1989,District 13,13,2016,michigan,Rep,,C000714,1,,2016,151,22,michigan,14,0.9999996,,,
john r. hauler,john hauler,4877,1990,District 13,13,2010,michigan,Rep,,,1,,2010,76,22,michigan,7,0.96730167,,,
john j. lynch,john j. lynch,16780,1991,District 15,15,2008,michigan,Rep,,,1,,2008,15,19,michigan,65,0.99999803,,,
john james,john james,8689,1992,Class II,0,2020,michigan,Sen,,J000307,1,,2020,1946,21,michigan,58,0.9999979,,,
john kupiec,john kupiec,16737,1993,District 5,5,2010,michigan,Rep,,,1,,2010,113,23,michigan,54,0.9999981,,,
john moolenaar,john moolenaar,3236,1994,District 4,4,2018,michigan,Rep,House,M001194,6,,2018,137,18,michigan,38,0.99999905,,,
jon hoadley,jon hoadley,10252,1995,District 6,6,2020,michigan,Rep,,,0,,2020,126,23,michigan,35,0.9999989,,,
joseph w. larkin,joseph w. larkin,16762,1996,District 11,11,2008,michigan,Rep,,,1,,2008,22,20,michigan,11,0.99999714,,,
justin amash,justin amash,2716,1997,District 3,3,2014,michigan,Rep,House,A000367,11,,2014,31,26,michigan,1,0.9999999,,,
keith ellison,keith ellison,2796,1998,District 5,5,2014,minnesota,Rep,House,E000288,13,,2014,30,9,minnesota,16,1.0000007,,,
kerry l. bentivolio,kerry bentivolio,3102,1999,District 11,11,2012,michigan,Rep,House,B001280,5,,2012,49,36,michigan,33,0.98229045,,,
kerry l. bentivolio,kerry bentivolio,3102,1999,District 11,11,2012,michigan,Rep,House,B001280,5,,2012,49,36,michigan,33,0.98229045,,,
kim clark,kim clark,15905,2000,District 6,6,2006,michigan,Rep,,,1,,2006,81,18,michigan,28,0.99999803,,,
kimberly bizon,kimberly bizon,8875,2001,District 10,10,2018,michigan,Rep,,,1,,2018,133,20,michigan,46,1.0000001,,,
kimon kotos,kimon kotos,15483,2002,District 2,2,2006,michigan,Rep,,,1,,2006,82,19,michigan,2,0.99999875,,,
kurt richard haskell,kurt r. haskell,4876,2003,District 7,7,2012,michigan,Rep,,,2,,2012,47,37,michigan,19,0.94097495,,,
lance l. enderle,lance enderle,4863,2004,District 8,8,2012,michigan,Rep,,,3,,2012,50,38,michigan,55,0.96753746,,,
lena epstein,lena epstein,8877,2005,District 11,11,2018,michigan,Rep,,,1,,2018,108,21,michigan,3,0.99999744,,,
leonard c. schwartz,leonard schwartz,4899,2006,District 4,4,2016,michigan,Rep,,,1,,2016,167,25,michigan,41,0.978391,,,
lisa mcclain,lisa mcclain,10902,2007,District 9,9,2022,michigan,Rep,,M001136,0,,2022,135,21,michigan,16,0.9999981,,,
lon johnson,lon johnson,8334,2008,District 1,1,2016,michigan,Rep,,,1,,2016,167,26,michigan,40,0.999999,,,
marc herschfus,marc herschfus,8880,2009,District 14,14,2018,michigan,Rep,,,1,,2018,100,22,michigan,7,0.9999993,,,
matt longjohn,matt longjohn,8885,2010,District 6,6,2018,michigan,Rep,,,1,,2018,140,23,michigan,31,0.99999714,,,
matt morgan,matt morgan,8874,2011,District 1,1,2018,michigan,Rep,,,1,,2018,144,24,michigan,48,0.99999756,,,
matt sawicki,matt sawicki,16734,2012,District 5,5,2008,michigan,Rep,,,1,,2008,12,22,michigan,46,0.9999978,,,
mike bishop,mike bishop,3209,2013,District 8,8,2018,michigan,Rep,,B001293,4,,2018,150,25,michigan,51,0.99999803,,,
mike bouchard,michael bouchard,606,2014,Class I,0,2006,michigan,Sen,,,1,,2006,1503,20,michigan,62,0.9713704,,,
mike rogers,mike rogers,2971,2015,District 8,4,2012,michigan,Rep,,R000572,2,,2012,5,42,michigan,58,0.99999815,,,
mike rogers,mike rogers,2971,2015,District 8,8,2008,michigan,Rep,House,R000572,10,,2008,59,23,michigan,50,0.99999815,,,
michael r. huckleberry,mike huckleberry,15487,2016,District 4,4,2006,michigan,Rep,,,1,,2006,80,21,michigan,4,0.95461726,,,
mike o'brien,mike o'brien,4891,2017,District 6,6,2012,michigan,Rep,,,2,,2012,51,41,michigan,59,0.99999684,,,
nancy skinner,nancy skinner,3242,2018,District 9,9,2006,michigan,Rep,,,1,,2006,91,23,michigan,26,0.99999976,,,
natalie mosher,natalie mosher,16763,2019,District 11,11,2010,michigan,Rep,,,1,,2010,130,28,michigan,24,0.99999577,,,
pamela byrnes,pam byrnes,3213,2020,District 7,7,2014,michigan,Rep,,,2,,2014,21,30,michigan,16,0.9780057,,,
patrick a. miles,"patrick miles, jr.",8432,2021,District 3,3,2010,michigan,Rep,,,1,,2010,153,29,michigan,37,0.9197964,,,
paul clements,paul clements,3216,2022,District 6,6,2016,michigan,Rep,,,3,,2016,141,28,michigan,55,0.9999991,,,
paul junge,paul junge,10881,2023,District 8,8,2022,michigan,Rep,,,0,,2022,168,24,michigan,20,0.99999815,,,
paul mitchell,paul mitchell,3235,2024,District 10,10,2018,michigan,Rep,House,M001201,3,,2018,133,26,michigan,43,0.99999994,,,
pete hoekstra,pete hoekstra,608,2025,Class I,0,2012,michigan,Sen,,H000676,2,,2012,671,43,michigan,67,0.9999982,,,
peter meijer,peter meijer,10274,2026,District 3,3,2020,michigan,Rep,House,M001186,0,,2020,138,29,michigan,7,0.9999983,,,
randell j. shafer,randell shafer,15500,2027,District 12,12,2006,michigan,Rep,,,1,,2006,121,25,michigan,59,0.97639024,,,
rashida tlaib,rashida tlaib,8879,2028,District 13,13,2020,michigan,Rep,House,T000481,1,,2020,137,30,michigan,28,0.99999845,,,
rick snyder,rick snyder,6513,2029,,0,2014,michigan,Gov,,,10,,2014,321,32,michigan,68,0.9999967,,,
rob davidson,rob davidson,8881,2030,District 2,2,2018,michigan,Rep,,,1,,2018,173,29,michigan,22,0.99993664,,,
robert d. alexander,robert d. alexander,15493,2031,District 8,8,2008,michigan,Rep,,,1,,2008,20,25,michigan,51,0.9999972,,,
robert h. denison,robert denison,15911,2032,District 10,10,2006,michigan,Rep,,,2,,2006,96,26,michigan,51,0.9700922,,,
robert vance patrick,robert patrick,10880,2033,District 14,14,2020,michigan,Rep,,,0,,2020,116,31,michigan,11,0.92828155,,,
rob steele,robert steele,6428,2034,District 15,15,2010,michigan,Rep,,,1,,2010,131,31,michigan,1,0.95825374,,,
sander m. levin,sander m. levin,2887,2035,District 12,12,2006,michigan,Rep,,L000263,1,,2006,120,27,michigan,58,0.9999966,,,
sharon marie renier,sharon renier,9898,2036,District 7,7,2006,michigan,Rep,,,1,,2006,84,28,michigan,9,0.96898127,,,
steven m. pestka,steve pestka,4894,2037,District 3,3,2012,michigan,Rep,,,2,,2012,58,48,michigan,41,0.96870416,,,
suzanna shkreli,suzanna shkreli,8236,2038,District 8,8,2016,michigan,Rep,,,1,,2016,150,32,michigan,19,0.9999975,,,
syed taj,syed taj,4906,2039,District 11,11,2012,michigan,Rep,,,2,,2012,50,49,michigan,35,0.9999964,,,
terri lynn land,terri lynn land,4475,2040,Class II,0,2014,michigan,Sen,,,2,,2014,316,34,michigan,60,0.9999996,,,
terry bowman,terry bowman,3210,2041,District 12,12,2014,michigan,Rep,,,2,,2014,23,35,michigan,45,0.99980706,,,
tim kelly,tim kelly,10900,2042,District 5,5,2020,michigan,Rep,,,0,,2020,129,32,michigan,40,0.99999607,,,
tim walberg,tim walberg,3031,2043,District 7,7,2016,michigan,Rep,House,W000798,12,,2016,135,33,michigan,48,0.9999991,,,
tom a. casperson,tom casperson,16716,2044,District 1,1,2008,michigan,Rep,,,1,,2008,45,30,michigan,43,0.9527687,,,
tony j. trupiano,tony trupiano,15913,2045,District 11,11,2006,michigan,Rep,,,1,,2006,124,31,michigan,20,0.9783052,,,
travis wines,travis wines,8884,2046,District 5,5,2018,michigan,Rep,,,1,,2018,145,32,michigan,34,0.9999964,,,
vernon j. ehlers,vernon j. ehlers,13610,2047,District 3,3,2006,michigan,Rep,,E000092,2,,2006,94,32,michigan,41,0.99999857,,,
al franken,al franken,1610,2048,Class II,0,2008,minnesota,Sen,Senate,F000457,12,,2008,529,0,minnesota,28,1.0000012,,,
alan fine,alan fine,11447,2049,District 5,5,2006,minnesota,Rep,,,1,,2006,99,0,minnesota,9,1.0000001,,,
allen j. quist,allen quist,5093,2050,District 1,1,2012,minnesota,Rep,,,2,,2012,37,1,minnesota,0,0.9620638,,,
amy klobuchar,amy klobuchar,992,2051,Class I,0,2018,minnesota,Sen,Senate,K000367,14,,2018,992,0,minnesota,20,1.0000008,,,
amy klobuchar,amy klobuchar,992,2051,Class I,0,2012,minnesota,Sen,Senate,K000367,14,,2012,369,2,minnesota,22,1.0000008,,,
angie craig,angie craig,8229,2052,District 2,2,2020,minnesota,Rep,,C001119,2,,2020,117,1,minnesota,19,1.0000005,,,
angie craig,angie craig,8229,2052,District 2,2,2018,minnesota,Rep,,C001119,2,,2018,111,1,minnesota,16,1.0000005,,,
barb davis white,"barbara davis ""barb"" white",16790,2053,District 5,5,2008,minnesota,Rep,,,1,,2008,34,2,minnesota,2,0.9700052,,,
betty mccollum,betty mccollum,2909,2054,District 4,4,2014,minnesota,Rep,House,M001143,15,,2014,31,2,minnesota,12,1.0000007,,,
brian barnes,brian barnes,5073,2055,District 3,3,2012,minnesota,Rep,,,2,,2012,40,5,minnesota,14,1.0000005,,,
